repo,language,fileCount,rawTokens,finalTokens,reductionPct,coverageGrade,coveragePct,healthScore,healthGrade,hitAt5,mrr,tasks
etcd,Go,1139,1980412,125101,93.7,A,91.68646080760095,100,A,,,0
ethereum-geth,Go,1466,4258208,165833,96.1,C,69.45910290237467,100,A,,,0
exposed,Kotlin,4988,703712,33829,95.2,B,88.20754716981132,100,A,,,0
express,JavaScript,153,70657,1137,98.4,D,22.916666666666664,100,A,40,0.4,5
faker-php,PHP,587,67338,2852,95.8,D,11.20879120879121,100,A,,,0
fastapi,Python,1144,995241,99196,90,B,80.72183098591549,100,A,60,0.492,5
fastchat,Python,123,310523,18565,94,B,75.52447552447552,100,A,,,0
fastify,JavaScript,292,169344,7659,95.5,D,24.91349480968858,100,A,60,0.6,5
fd,Rust,26,35415,1526,95.7,A,90.47619047619048,100,A,,,0
fiber,Go,275,1103766,42497,96.1,A,96.96969696969697,100,A,,,0
flask,Python,106,139322,8737,93.7,C,74.24242424242425,100,A,100,0.7,5
flatbuffers,TypeScript,372,1063908,42220,96,B,80.58510638297872,100,A,,,0
flutter,Dart,7178,2022994,142346,93,A,90.46306504961412,100,A,,,0
flutter-animate,Dart,84,36482,2598,92.9,B,86.11111111111111,100,A,,,0
forestry,JavaScript,183,225448,10419,95.4,C,73.97260273972603,100,A,,,0
foundation,JavaScript,528,90984,3475,96.2,D,44.31818181818182,100,A,,,0
ggez-engine,Rust,59,150745,7932,94.7,A,89.74358974358975,100,A,,,0
ghc,Unknown,356,9920767,144067,98.5,C,60.653753026634384,100,A,,,0
ghost,JavaScript,5252,625119,47742,92.4,B,75.21160822249094,100,A,,,0
ghost-pro,JavaScript,2510,3419503,171893,95,C,65.06155950752394,100,A,,,0
gin,Go,99,224424,11624,94.8,A,97.11538461538461,100,A,60,0.557,5
git,Unknown,1310,2886979,86596,97,C,67.54966887417218,100,A,,,0
gitea,Go,2983,3770605,164573,95.6,C,53.967731313796506,100,A,,,0
github-cli,Go,896,1977625,90808,95.4,A,97.19101123595506,100,A,,,0
github-copilot,Unknown,2,276,194,29.7,A,,100,A,,,0
gitlab,Ruby,31025,26568974,151507,99.4,D,11.12345075740749,100,A,,,0
gitlab-runner,Go,1038,2522375,139152,94.5,A,97.60765550239235,100,A,,,0
gleam-lang,Rust,529,1348649,32814,97.6,B,81.14285714285714,100,A,,,0
gnuplot-plotting,Unknown,129,1163000,21172,98.2,C,50.63291139240506,100,A,,,0
godot-engine,Unknown,5437,30991823,170287,99.5,D,9.449877750611247,100,A,,,0
golang-core,Go,11503,19020551,140548,99.3,D,20.05966116958406,100,A,,,0
gradle,Java,13125,14201196,157473,98.9,D,12.44389685822406,100,A,,,0
grafana,Go,15163,18653576,199057,98.9,D,14.923139708883145,100,A,,,0
graphql-js,TypeScript,488,605030,21083,96.5,D,45.25252525252525,100,A,,,0
graphql-spec,JavaScript,11,92372,721,99.2,C,50,100,A,,,0
grpc-framework,Python,2980,8821021,162659,98.2,D,19.1812865497076,100,A,,,0
grpc-go,Go,1061,2775702,114609,95.9,A,90.41994750656168,100,A,,,0
grpc-java,Java,1667,2410974,99804,95.9,A,92.90030211480362,100,A,,,0
guava,Java,3234,2437020,59184,97.6,D,41.37931034482759,100,A,,,0
guzzle,PHP,85,147570,4465,97,B,77.38095238095238,100,A,,,0
h2-http2,Rust,56,176322,6383,96.4,B,82.14285714285714,100,A,,,0
h2o-server,Unknown,902,3533641,130209,96.3,B,76.71370967741935,100,A,,,0
haproxy,Unknown,563,3413754,93403,97.3,C,74.40225035161744,100,A,,,0
helm-charts,Python,12,414,191,53.9,A,100,100,A,,,0
hono,TypeScript,371,301373,10845,96.4,D,44.32132963988919,100,A,,,0
html5-boilerplate,JavaScript,13,531,189,64.4,D,25,100,A,,,0
http2-protocol,Unknown,9,102686,443,99.6,A,,100,A,,,0
httpx,Python,62,141789,11687,91.8,B,88.33333333333333,100,A,,,0
httpx-async,Python,32,94361,5346,94.3,B,86.95652173913044,100,A,,,0
huggingface-datasets,Python,124,523650,16794,96.8,C,71.63120567375887,100,A,,,0
hyper-rust,Rust,62,233759,3267,98.6,C,67.12328767123287,100,A,,,0
hyperledger-fabric,Go,1928,4301671,163052,96.2,C,59.895561357702356,100,A,,,0
